serial:no,age,gender,year_in_school,major,monthly_income,tuition,financial_aid,housing,food,transportation,books_supplies,entertainment,personal_care,technology,health_wellness,expense,savings,preferred_payment_method
254,21,Non-binary,Junior,Psychology,4255,1097,70,447,101,125,267,119,58,76,37,2397,1858,Credit/Debit Card
255,22,Non-binary,Freshman,Biology,3098,835,244,834,380,95,243,39,51,178,101,3000,98,Credit/Debit Card
256,18,Non-binary,Senior,Economics,3221,755,757,820,301,126,231,77,71,284,99,3521,-300,Credit/Debit Card
257,19,Male,Freshman,Engineering,5170,1087,133,872,133,86,177,73,63,198,167,2989,2181,Credit/Debit Card
258,23,Male,Sophomore,Computer Science,3012,931,950,636,329,187,96,141,96,246,193,3805,-793,Cash
259,20,Female,Sophomore,Psychology,4912,983,321,761,350,177,256,61,73,206,63,3251,1661,Credit/Debit Card
260,21,Non-binary,Sophomore,Engineering,4160,639,854,676,174,107,208,71,48,231,192,3200,960,Mobile Payment App
261,20,Male,Junior,Engineering,4231,527,438,961,212,60,287,57,31,80,162,2815,1416,Mobile Payment App
262,24,Male,Junior,Computer Science,4930,744,666,853,134,115,197,107,73,256,117,3262,1668,Mobile Payment App
263,21,Male,Freshman,Economics,3821,1118,367,956,287,112,267,65,92,147,149,3560,261,Mobile Payment App
264,22,Male,Senior,Engineering,3809,1276,606,970,124,97,271,96,81,110,136,3767,42,Credit/Debit Card
265,25,Female,Junior,Engineering,4771,880,863,903,291,100,292,108,55,217,164,3873,898,Cash
266,23,Male,Freshman,Engineering,4645,1424,887,854,140,145,156,35,36,50,114,3841,804,Mobile Payment App
267,22,Female,Senior,Psychology,3568,1276,500,785,338,144,298,91,64,173,98,3767,-199,Mobile Payment App
268,19,Non-binary,Junior,Computer Science,5958,697,943,824,274,200,89,56,31,268,175,3557,2401,Mobile Payment App
269,23,Non-binary,Senior,Computer Science,3665,1379,500,946,114,143,211,92,20,83,113,3601,64,Mobile Payment App
270,20,Female,Freshman,Computer Science,5400,1466,977,698,283,135,58,135,96,171,30,4049,1351,Credit/Debit Card
271,24,Male,Junior,Biology,3565,1126,649,483,259,63,53,57,43,65,40,2838,727,Cash
272,23,Non-binary,Senior,Biology,5535,1126,9,1000,206,135,84,70,95,295,120,3140,2395,Cash
273,21,Non-binary,Senior,Biology,4952,618,916,459,192,145,202,86,81,122,150,2971,1981,Cash
274,22,Non-binary,Junior,Biology,3495,785,303,407,245,64,92,47,82,94,104,2223,1272,Mobile Payment App
275,18,Non-binary,Senior,Computer Science,3535,770,554,468,171,104,93,75,22,74,191,2522,1013,Cash
276,25,Non-binary,Sophomore,Psychology,5216,1431,856,528,377,155,191,149,56,117,124,3984,1232,Credit/Debit Card
277,18,Female,Freshman,Biology,3955,1338,491,781,100,139,175,129,24,167,149,3493,462,Credit/Debit Card
278,25,Female,Sophomore,Psychology,3517,1121,794,407,363,101,170,60,30,168,101,3315,202,Mobile Payment App
279,24,Female,Freshman,Engineering,5833,1245,675,944,195,107,88,79,95,166,199,3793,2040,Credit/Debit Card
280,20,Female,Senior,Computer Science,3343,748,223,919,100,142,266,77,60,103,199,2837,506,Mobile Payment App
281,20,Female,Junior,Biology,3610,1389,477,811,152,91,234,82,33,171,96,3536,74,Credit/Debit Card
282,19,Female,Junior,Engineering,5969,1122,790,840,365,104,134,64,98,201,57,3775,2194,Credit/Debit Card
283,23,Male,Senior,Psychology,5456,1113,955,773,349,178,79,135,78,200,135,3995,1461,Cash
284,20,Female,Sophomore,Economics,5055,879,547,407,169,105,280,90,62,238,82,2859,2196,Cash
285,18,Non-binary,Freshman,Economics,4710,1489,202,921,101,187,122,130,38,246,96,3532,1178,Mobile Payment App
286,22,Female,Freshman,Biology,5866,869,85,754,379,127,214,111,64,276,37,2916,2950,Cash
287,23,Male,Junior,Psychology,5066,1381,520,624,356,65,97,55,84,106,65,3353,1713,Mobile Payment App
288,21,Non-binary,Sophomore,Biology,4012,1325,735,880,270,200,230,121,97,248,102,4208,-196,Cash
289,20,Male,Senior,Psychology,3705,581,492,448,318,114,186,129,85,215,188,2756,949,Cash
290,22,Non-binary,Senior,Engineering,4140,694,245,692,398,92,215,25,92,247,135,2835,1305,Mobile Payment App
291,24,Female,Sophomore,Economics,3389,615,563,403,200,109,63,145,79,233,64,2474,915,Mobile Payment App
292,25,Female,Sophomore,Economics,4998,1394,519,879,222,84,141,21,67,96,101,3524,1474,Credit/Debit Card
293,25,Female,Freshman,Biology,5867,800,223,828,298,94,166,127,81,229,48,2894,2973,Credit/Debit Card
294,20,Male,Senior,Psychology,3541,913,634,668,375,187,171,70,91,90,133,3332,209,Cash
295,19,Male,Sophomore,Psychology,5570,1243,882,574,106,190,73,85,97,264,94,3608,1962,Mobile Payment App
296,20,Female,Sophomore,Economics,3115,655,685,481,270,157,133,97,22,112,80,2692,423,Credit/Debit Card
297,18,Male,Freshman,Biology,4637,667,647,906,225,123,204,81,36,89,33,3011,1626,Credit/Debit Card
298,24,Non-binary,Senior,Economics,5143,1458,7,505,329,140,265,138,65,81,49,3037,2106,Credit/Debit Card
299,22,Non-binary,Sophomore,Biology,4445,925,350,529,227,51,173,132,24,58,183,2652,1793,Mobile Payment App
300,21,Non-binary,Senior,Economics,4114,1105,35,417,308,178,152,142,90,286,84,2797,1317,Credit/Debit Card
301,18,Male,Junior,Biology,5522,737,490,758,135,160,105,65,80,281,148,2959,2563,Cash
302,25,Female,Freshman,Computer Science,5525,1495,892,767,182,97,213,135,30,196,54,4061,1464,Mobile Payment App
303,20,Male,Senior,Economics,5002,1298,971,717,249,63,214,72,40,220,80,3924,1078,Mobile Payment App
304,21,Male,Sophomore,Psychology,3708,1272,784,810,364,90,119,32,67,91,146,3775,-67,Credit/Debit Card
305,19,Female,Senior,Biology,5383,511,825,917,201,152,117,147,42,244,75,3231,2152,Credit/Debit Card
306,21,Female,Sophomore,Engineering,5178,1161,566,653,381,155,213,116,45,208,139,3637,1541,Credit/Debit Card
307,21,Male,Senior,Psychology,5832,1112,943,881,292,93,288,135,82,67,102,3995,1837,Mobile Payment App
308,25,Male,Junior,Economics,5949,958,451,655,163,78,96,150,54,78,76,2759,3190,Cash
309,25,Non-binary,Junior,Engineering,4044,1176,186,615,319,93,108,46,96,184,61,2884,1160,Credit/Debit Card
310,20,Non-binary,Senior,Engineering,3325,727,451,570,253,76,98,55,49,229,96,2604,721,Cash
311,25,Non-binary,Senior,Biology,3048,1483,826,733,136,103,278,114,22,282,110,4087,-1039,Credit/Debit Card
312,24,Male,Junior,Computer Science,4884,881,97,857,340,166,147,34,32,298,115,2967,1917,Credit/Debit Card
313,21,Male,Freshman,Engineering,5766,1347,634,562,398,134,222,43,56,108,162,3666,2100,Mobile Payment App
314,22,Female,Freshman,Psychology,4477,725,132,822,150,61,192,133,89,204,133,2641,1836,Mobile Payment App
315,18,Non-binary,Sophomore,Biology,4171,1000,270,859,194,139,246,102,65,93,185,3153,1018,Credit/Debit Card
316,24,Female,Sophomore,Engineering,4126,795,580,454,226,132,114,117,72,158,133,2781,1345,Credit/Debit Card
317,18,Male,Senior,Economics,3962,869,447,416,369,112,71,44,51,160,74,2613,1349,Mobile Payment App
318,24,Female,Freshman,Biology,4823,543,177,976,295,153,86,107,36,143,118,2634,2189,Credit/Debit Card
319,25,Male,Sophomore,Economics,5561,1470,403,704,178,104,173,36,50,81,140,3339,2222,Credit/Debit Card
320,19,Female,Freshman,Economics,4441,734,838,437,185,79,53,129,21,149,120,2745,1696,Cash
321,20,Female,Freshman,Computer Science,5929,669,638,588,290,176,218,74,23,199,65,2940,2989,Mobile Payment App
322,19,Female,Junior,Psychology,4533,1336,417,809,268,131,237,96,88,289,113,3784,749,Cash
323,21,Female,Sophomore,Economics,5414,1436,435,748,274,89,220,34,79,241,118,3674,1740,Mobile Payment App
324,21,Non-binary,Freshman,Engineering,5292,1339,777,509,245,113,70,101,47,297,156,3654,1638,Mobile Payment App
325,18,Female,Freshman,Biology,4477,609,201,930,260,178,272,98,83,138,129,2898,1579,Credit/Debit Card
326,21,Non-binary,Sophomore,Economics,4582,1036,169,426,206,189,237,140,70,59,105,2637,1945,Mobile Payment App
327,25,Female,Senior,Engineering,5575,1309,840,923,257,115,263,78,20,236,39,4080,1495,Mobile Payment App
328,25,Male,Sophomore,Engineering,4388,1471,521,504,341,113,76,34,67,216,78,3421,967,Cash
329,19,Male,Freshman,Engineering,3579,658,487,705,292,172,198,20,50,209,68,2859,720,Mobile Payment App
330,19,Male,Junior,Engineering,5407,684,728,953,162,107,117,64,54,260,166,3295,2112,Mobile Payment App
331,20,Male,Sophomore,Computer Science,3358,907,468,877,152,170,63,44,47,176,158,3062,296,Credit/Debit Card
332,18,Male,Freshman,Computer Science,4827,846,671,928,256,61,114,21,77,160,133,3267,1560,Mobile Payment App
333,18,Female,Sophomore,Biology,5461,1175,963,498,218,81,182,26,60,296,143,3642,1819,Cash
334,25,Male,Freshman,Biology,5837,659,893,867,142,77,163,105,79,184,166,3335,2502,Credit/Debit Card
335,18,Non-binary,Sophomore,Economics,5185,1488,492,450,152,120,218,91,81,257,50,3399,1786,Cash
336,22,Female,Senior,Psychology,5107,1190,194,483,299,179,173,30,68,144,170,2930,2177,Cash
337,19,Female,Junior,Psychology,5288,742,543,772,125,162,123,126,51,94,113,2851,2437,Credit/Debit Card
338,23,Non-binary,Freshman,Psychology,3265,914,663,809,175,60,125,21,81,135,194,3177,88,Credit/Debit Card
339,19,Male,Freshman,Biology,3659,1485,53,651,221,198,124,141,85,293,57,3308,351,Cash
340,20,Female,Junior,Biology,4190,582,678,722,112,188,97,133,66,69,131,2778,1412,Credit/Debit Card
341,19,Non-binary,Junior,Engineering,4764,1468,415,613,115,157,121,31,88,77,56,3141,1623,Credit/Debit Card
342,25,Female,Sophomore,Computer Science,3755,1021,93,512,104,188,146,103,63,183,128,2541,1214,Cash
343,24,Male,Freshman,Computer Science,4727,760,281,822,394,88,191,50,48,160,188,2982,1745,Mobile Payment App
344,24,Non-binary,Freshman,Economics,3771,969,371,889,336,59,298,35,89,201,74,3321,450,Cash
345,23,Female,Senior,Biology,3846,990,431,594,330,89,114,54,72,82,132,2888,958,Mobile Payment App
346,23,Non-binary,Sophomore,Engineering,4240,1304,457,878,111,165,86,123,41,120,124,3409,831,Cash
347,23,Male,Sophomore,Biology,4759,805,0,409,255,101,285,49,45,89,115,2153,2606,Credit/Debit Card
348,25,Male,Senior,Engineering,4058,1179,223,952,340,118,65,121,51,174,41,3264,794,Credit/Debit Card
349,18,Non-binary,Senior,Computer Science,3003,573,299,878,229,131,157,58,88,53,182,2648,355,Mobile Payment App
350,25,Female,Senior,Psychology,4906,843,4,869,226,196,66,82,98,289,58,2731,2175,Mobile Payment App
351,23,Non-binary,Junior,Biology,3056,1085,795,501,170,136,155,70,46,192,89,3239,-183,Mobile Payment App
352,23,Female,Freshman,Biology,3789,580,771,707,322,170,244,114,75,79,188,3250,539,Credit/Debit Card
353,25,Female,Sophomore,Computer Science,4785,975,630,693,316,177,263,121,62,233,149,3619,1166,Cash
354,23,Male,Senior,Psychology,4542,602,608,830,378,83,229,131,54,166,145,3226,1316,Credit/Debit Card
355,23,Non-binary,Senior,Economics,4761,1103,873,671,394,121,215,112,47,118,119,3773,988,Cash
356,20,Non-binary,Freshman,Psychology,3909,816,233,949,136,165,53,59,30,275,183,2899,1010,Mobile Payment App
357,24,Male,Freshman,Engineering,5042,1016,201,606,142,54,188,106,64,162,40,2579,2463,Cash
358,23,Non-binary,Junior,Engineering,3449,969,327,516,312,182,186,25,44,186,117,2864,585,Cash
359,21,Non-binary,Junior,Computer Science,5934,918,831,949,391,81,127,121,64,275,141,3898,2036,Credit/Debit Card
360,23,Non-binary,Senior,Computer Science,4397,982,207,710,159,118,89,109,87,225,65,2751,1646,Mobile Payment App
361,25,Male,Junior,Computer Science,5979,1021,912,785,293,86,228,32,46,135,102,3640,2339,Cash
362,22,Female,Sophomore,Psychology,5701,521,884,916,342,175,221,86,46,57,112,3360,2341,Mobile Payment App
363,24,Female,Freshman,Computer Science,3721,1444,881,458,269,70,89,72,50,182,81,3596,125,Mobile Payment App
364,21,Male,Sophomore,Psychology,4218,646,487,822,124,74,108,52,97,68,105,2583,1635,Credit/Debit Card
365,21,Female,Freshman,Economics,3728,1296,133,464,212,184,298,72,53,198,111,3021,707,Mobile Payment App
366,18,Non-binary,Freshman,Economics,5759,1360,222,810,164,153,77,60,99,180,177,3302,2457,Mobile Payment App
367,19,Female,Senior,Biology,5407,1123,5,404,345,122,187,73,20,215,171,2665,2742,Cash
368,18,Female,Senior,Psychology,5837,1020,74,552,123,138,267,98,63,267,163,2765,3072,Mobile Payment App
369,21,Female,Freshman,Computer Science,3757,736,628,743,256,180,209,92,92,228,44,3208,549,Credit/Debit Card
370,23,Non-binary,Senior,Economics,5865,931,322,490,155,146,175,79,95,113,142,2648,3217,Cash
371,24,Male,Senior,Psychology,3807,1443,982,814,364,169,299,126,20,102,193,4512,-705,Mobile Payment App
372,22,Male,Freshman,Engineering,3483,730,374,675,230,68,212,124,72,156,118,2759,724,Cash
373,25,Non-binary,Senior,Economics,4229,561,759,781,147,88,144,55,95,114,142,2886,1343,Mobile Payment App
374,25,Female,Sophomore,Economics,5867,1212,616,728,378,65,159,92,79,289,35,3653,2214,Cash
375,25,Non-binary,Freshman,Computer Science,5824,1282,416,594,309,121,108,58,91,234,104,3317,2507,Cash
376,21,Non-binary,Freshman,Biology,5133,1438,364,617,392,127,249,37,28,154,170,3576,1557,Mobile Payment App
377,18,Female,Senior,Psychology,4901,702,531,497,237,150,298,46,62,225,123,2871,2030,Credit/Debit Card
378,20,Male,Senior,Biology,5002,1433,764,589,397,51,288,135,100,71,48,3876,1126,Credit/Debit Card
379,25,Female,Freshman,Psychology,4680,1444,542,829,207,122,260,109,37,127,43,3720,960,Cash
380,22,Female,Junior,Psychology,5803,536,484,413,326,104,86,99,69,197,167,2481,3322,Cash
381,18,Non-binary,Freshman,Engineering,3610,1260,68,637,296,86,87,50,54,230,183,2951,659,Credit/Debit Card
382,18,Non-binary,Freshman,Biology,3235,701,340,969,337,65,152,113,99,169,161,3106,129,Cash
383,18,Female,Freshman,Engineering,3419,1309,144,728,171,116,152,107,85,124,76,3012,407,Cash
384,18,Non-binary,Sophomore,Economics,4582,842,491,473,202,156,279,120,81,270,67,2981,1601,Credit/Debit Card
385,24,Male,Freshman,Computer Science,3795,617,863,837,231,152,256,41,74,221,130,3422,373,Credit/Debit Card
386,21,Non-binary,Junior,Engineering,5864,1134,490,714,370,96,199,114,82,67,190,3456,2408,Cash
387,23,Non-binary,Sophomore,Psychology,4210,992,242,495,187,114,58,132,96,154,134,2604,1606,Mobile Payment App
388,18,Non-binary,Freshman,Economics,4271,1408,572,477,320,78,150,150,81,163,46,3445,826,Mobile Payment App
389,21,Female,Senior,Biology,3234,1368,940,405,334,59,114,23,67,135,190,3635,-401,Mobile Payment App
390,22,Male,Senior,Economics,4056,716,157,789,358,186,216,78,74,175,169,2918,1138,Cash
391,22,Non-binary,Freshman,Psychology,5309,1224,581,936,264,55,188,126,47,194,79,3694,1615,Credit/Debit Card
392,19,Non-binary,Senior,Biology,4273,1349,788,421,106,160,147,39,89,235,182,3516,757,Cash
393,24,Female,Sophomore,Engineering,3146,802,552,724,213,95,135,103,70,267,54,3015,131,Cash
394,18,Female,Senior,Psychology,3600,973,318,913,375,183,178,122,94,129,66,3351,249,Cash
395,19,Female,Senior,Engineering,5945,736,660,478,342,75,279,43,49,107,94,2863,3082,Mobile Payment App
396,22,Male,Senior,Engineering,3897,571,498,648,181,56,275,86,57,287,79,2738,1159,Mobile Payment App
397,25,Female,Sophomore,Engineering,3133,833,56,615,147,90,201,81,30,148,42,2243,890,Cash
398,22,Female,Freshman,Computer Science,4116,713,382,592,329,120,269,46,53,230,57,2791,1325,Credit/Debit Card
399,20,Male,Junior,Economics,5900,1268,475,661,264,157,258,52,38,167,174,3514,2386,Cash
400,19,Non-binary,Freshman,Biology,5075,819,615,858,153,200,115,76,90,139,154,3219,1856,Mobile Payment App
401,18,Male,Senior,Economics,3788,1268,324,483,339,159,120,55,22,212,173,3155,633,Credit/Debit Card
402,18,Female,Senior,Engineering,4043,1486,705,661,178,64,276,80,69,144,115,3778,265,Mobile Payment App
403,24,Male,Freshman,Computer Science,3944,1005,536,687,262,148,200,138,53,146,194,3369,575,Cash
404,25,Female,Senior,Economics,3014,1205,837,593,183,142,112,77,59,209,145,3562,-548,Credit/Debit Card
405,24,Male,Senior,Engineering,5137,1356,858,747,109,170,153,46,40,131,85,3695,1442,Mobile Payment App
406,22,Male,Senior,Engineering,5754,817,555,716,382,135,142,21,29,188,183,3168,2586,Mobile Payment App
407,22,Male,Sophomore,Biology,4080,706,75,874,139,183,93,41,47,136,164,2458,1622,Cash
408,18,Non-binary,Junior,Economics,5853,1102,490,669,230,122,118,41,74,276,69,3191,2662,Cash
409,22,Male,Sophomore,Engineering,3980,1279,898,471,265,148,77,68,37,132,192,3567,413,Credit/Debit Card
410,18,Male,Sophomore,Economics,4232,1457,998,957,375,139,167,141,31,196,35,4496,-264,Credit/Debit Card
411,21,Female,Freshman,Psychology,4943,1306,37,569,326,100,277,91,85,246,48,3085,1858,Cash
412,25,Male,Sophomore,Engineering,4563,1309,433,495,309,152,290,84,99,256,37,3464,1099,Credit/Debit Card
413,19,Male,Freshman,Biology,4973,1482,705,433,294,144,233,149,59,167,130,3796,1177,Credit/Debit Card
414,23,Male,Sophomore,Economics,4845,1468,333,563,107,74,129,119,24,123,98,3038,1807,Mobile Payment App
415,25,Female,Sophomore,Economics,3556,869,102,544,387,161,158,48,80,163,93,2605,951,Credit/Debit Card
416,18,Male,Junior,Economics,5448,886,917,808,155,169,150,24,60,129,127,3425,2023,Mobile Payment App
417,19,Female,Freshman,Economics,4289,1443,831,511,190,152,108,88,61,178,146,3708,581,Mobile Payment App
418,23,Non-binary,Freshman,Biology,4782,766,95,880,254,174,238,50,48,158,157,2820,1962,Cash
419,22,Non-binary,Senior,Biology,4595,1403,31,761,331,179,57,97,67,273,179,3378,1217,Cash
420,24,Non-binary,Freshman,Engineering,4080,1372,803,432,386,184,50,65,83,248,89,3712,368,Credit/Debit Card
421,23,Non-binary,Freshman,Biology,5495,1428,597,816,332,127,271,100,22,93,163,3949,1546,Mobile Payment App
422,19,Male,Junior,Biology,4515,1303,60,511,387,179,244,68,100,261,35,3148,1367,Cash
423,20,Non-binary,Sophomore,Economics,5879,572,823,438,360,72,118,80,45,265,48,2821,3058,Credit/Debit Card
424,23,Non-binary,Junior,Economics,4648,558,194,865,183,60,113,128,38,265,42,2446,2202,Credit/Debit Card
425,23,Female,Junior,Engineering,5972,1049,476,663,116,162,52,110,21,202,86,2937,3035,Mobile Payment App
426,18,Female,Freshman,Computer Science,3640,923,108,409,384,117,249,76,68,152,86,2572,1068,Credit/Debit Card
427,18,Female,Freshman,Engineering,5779,621,35,558,252,109,289,82,51,98,53,2148,3631,Cash
428,21,Non-binary,Junior,Economics,5689,660,348,731,123,88,89,67,64,186,39,2395,3294,Mobile Payment App
429,21,Non-binary,Freshman,Biology,3863,528,92,899,127,184,100,21,55,195,125,2326,1537,Mobile Payment App
430,23,Female,Freshman,Psychology,3719,640,618,513,195,144,275,33,63,150,192,2823,896,Mobile Payment App
431,18,Female,Senior,Computer Science,4307,1427,573,797,224,161,136,87,59,159,87,3710,597,Mobile Payment App
432,18,Male,Sophomore,Computer Science,4577,527,405,532,133,134,292,62,50,164,33,2332,2245,Cash
433,25,Female,Freshman,Psychology,4591,1295,787,764,358,142,190,121,77,244,75,4053,538,Cash
434,23,Female,Sophomore,Economics,5149,1219,491,551,168,126,184,41,67,203,83,3133,2016,Cash
435,24,Female,Senior,Engineering,3200,959,696,593,318,188,153,150,89,285,54,3485,-285,Cash
436,18,Non-binary,Sophomore,Biology,3770,1483,995,569,328,159,103,126,92,284,193,4332,-562,Credit/Debit Card
437,19,Non-binary,Sophomore,Psychology,5700,646,986,857,309,77,88,66,98,174,126,3427,2273,Mobile Payment App
438,23,Male,Senior,Biology,5174,818,353,662,222,160,194,28,98,193,177,2905,2269,Credit/Debit Card
439,18,Male,Senior,Engineering,3398,1268,598,483,304,119,168,34,95,261,107,3437,-39,Credit/Debit Card
440,22,Non-binary,Freshman,Biology,4713,563,345,953,249,181,128,54,54,273,40,2840,1873,Mobile Payment App
441,21,Male,Freshman,Psychology,5096,1253,464,404,278,178,235,58,69,89,161,3189,1907,Credit/Debit Card
442,18,Non-binary,Sophomore,Engineering,5601,791,739,628,269,116,102,55,58,179,66,3003,2598,Cash
443,22,Non-binary,Sophomore,Psychology,3374,847,964,999,375,165,172,44,51,180,30,3827,-453,Cash
444,24,Male,Junior,Economics,5962,668,36,635,280,166,176,112,83,191,115,2462,3500,Mobile Payment App
445,24,Male,Freshman,Computer Science,3174,1022,883,832,121,137,142,54,65,93,47,3396,-222,Cash
446,20,Non-binary,Senior,Economics,3181,725,704,440,363,85,219,24,73,189,190,3012,169,Cash
447,24,Non-binary,Junior,Biology,3556,733,144,427,214,71,212,136,73,296,157,2463,1093,Credit/Debit Card
448,18,Non-binary,Freshman,Engineering,4569,684,745,884,322,140,265,20,99,201,132,3492,1077,Mobile Payment App
449,20,Male,Senior,Psychology,3326,604,494,622,216,141,54,90,98,268,56,2643,683,Mobile Payment App
450,23,Male,Sophomore,Engineering,5626,1346,83,799,120,125,292,140,47,62,35,3049,2577,Mobile Payment App
451,23,Non-binary,Junior,Biology,3907,1464,750,493,364,61,170,93,23,88,113,3619,288,Credit/Debit Card
452,18,Male,Sophomore,Psychology,5189,1258,333,537,370,195,195,84,57,126,125,3280,1909,Cash
453,22,Male,Freshman,Economics,3755,925,476,718,227,80,173,70,88,185,35,2977,778,Cash
454,18,Male,Sophomore,Computer Science,5715,927,880,748,217,146,227,97,46,220,162,3670,2045,Mobile Payment App
455,20,Non-binary,Freshman,Engineering,3784,1230,967,430,216,55,247,74,90,171,52,3532,252,Mobile Payment App
456,23,Non-binary,Freshman,Psychology,5522,1437,777,852,375,99,55,150,21,195,53,4014,1508,Credit/Debit Card
457,21,Female,Sophomore,Computer Science,3913,989,158,919,377,159,152,115,40,299,58,3266,647,Credit/Debit Card
458,19,Male,Senior,Biology,5884,910,724,422,365,164,294,146,34,258,152,3469,2415,Cash
459,18,Male,Freshman,Computer Science,3373,1323,441,701,369,60,235,44,78,276,38,3565,-192,Cash
460,20,Female,Sophomore,Engineering,4067,668,33,453,243,84,283,132,72,294,50,2312,1755,Mobile Payment App
461,25,Female,Senior,Biology,5665,1004,465,835,126,179,297,23,52,238,79,3298,2367,Credit/Debit Card
462,21,Female,Junior,Economics,3083,1415,561,967,347,114,175,100,30,166,162,4037,-954,Credit/Debit Card
463,18,Male,Freshman,Engineering,3799,948,739,812,344,111,205,139,94,249,107,3748,51,Credit/Debit Card
464,21,Non-binary,Junior,Biology,3146,1010,248,972,356,170,60,67,54,77,124,3138,8,Mobile Payment App
465,19,Female,Sophomore,Biology,3887,873,549,423,111,120,166,116,68,255,137,2818,1069,Credit/Debit Card
466,19,Female,Sophomore,Computer Science,4073,921,148,677,212,78,173,52,33,141,161,2596,1477,Cash
467,19,Female,Freshman,Engineering,4511,1459,285,619,299,145,295,96,71,95,35,3399,1112,Mobile Payment App
468,25,Male,Freshman,Biology,3980,672,213,420,362,64,290,131,53,201,102,2508,1472,Credit/Debit Card
469,23,Non-binary,Senior,Engineering,4335,1461,299,500,120,65,112,83,41,83,54,2818,1517,Mobile Payment App
470,24,Male,Senior,Psychology,4495,1492,644,468,234,76,205,58,80,159,157,3573,922,Credit/Debit Card
471,19,Male,Senior,Computer Science,5863,627,995,937,188,177,155,137,97,117,172,3602,2261,Cash
472,23,Male,Freshman,Computer Science,5819,961,87,781,393,56,155,64,86,146,63,2792,3027,Mobile Payment App
473,22,Male,Senior,Engineering,3455,954,134,664,332,183,227,36,69,180,45,2824,631,Credit/Debit Card
474,20,Non-binary,Junior,Biology,5843,1486,958,757,119,135,72,114,47,82,93,3863,1980,Mobile Payment App
475,24,Female,Freshman,Psychology,5918,1331,681,949,335,125,258,94,94,171,34,4072,1846,Mobile Payment App
476,21,Female,Senior,Computer Science,3257,551,492,930,335,59,61,41,60,59,146,2734,523,Cash
477,18,Non-binary,Senior,Biology,5868,1352,475,718,264,196,151,114,26,244,65,3605,2263,Credit/Debit Card
478,22,Female,Senior,Engineering,3820,1437,204,497,319,161,217,23,81,67,125,3131,689,Mobile Payment App
479,25,Non-binary,Sophomore,Biology,4965,1146,504,707,295,127,114,97,30,141,63,3224,1741,Mobile Payment App
480,21,Male,Freshman,Biology,3133,1341,899,850,364,183,262,129,26,188,94,4336,-1203,Credit/Debit Card
481,25,Female,Sophomore,Biology,5479,1331,227,750,155,184,88,87,72,87,157,3138,2341,Mobile Payment App
482,25,Male,Freshman,Computer Science,3900,1195,845,624,258,183,178,122,91,271,53,3820,80,Mobile Payment App
483,24,Non-binary,Sophomore,Psychology,5692,1247,269,638,158,196,190,92,88,174,100,3152,2540,Cash
484,25,Female,Senior,Biology,5418,663,798,420,389,97,282,144,84,149,123,3149,2269,Cash
485,23,Female,Senior,Engineering,4227,861,776,924,143,190,208,114,82,119,172,3589,638,Credit/Debit Card
486,23,Male,Senior,Economics,3025,568,340,620,300,92,233,75,52,296,191,2767,258,Credit/Debit Card
487,20,Female,Senior,Psychology,4626,802,254,568,179,64,265,124,51,117,158,2582,2044,Credit/Debit Card
488,24,Male,Freshman,Economics,5858,821,414,719,174,133,52,76,65,142,66,2662,3196,Cash
489,19,Female,Freshman,Computer Science,4354,1009,770,511,300,189,156,150,54,270,146,3555,799,Credit/Debit Card
490,19,Non-binary,Junior,Computer Science,3093,526,633,940,215,109,54,31,80,193,192,2973,120,Mobile Payment App
491,22,Female,Junior,Computer Science,3717,502,755,473,153,54,53,92,50,290,144,2566,1151,Mobile Payment App
492,19,Non-binary,Freshman,Biology,5703,860,550,503,203,171,117,29,31,87,82,2633,3070,Mobile Payment App
493,18,Non-binary,Junior,Economics,5141,1420,576,835,168,102,277,57,47,260,86,3828,1313,Cash
494,21,Female,Senior,Computer Science,4582,540,931,651,221,135,100,21,39,75,72,2785,1797,Mobile Payment App
495,25,Non-binary,Freshman,Psychology,4234,737,995,562,288,62,293,103,89,281,31,3441,793,Mobile Payment App
496,22,Non-binary,Freshman,Psychology,3138,503,57,843,276,177,175,37,26,258,105,2457,681,Cash
497,22,Female,Freshman,Computer Science,5357,673,972,828,279,95,298,97,21,154,34,3451,1906,Mobile Payment App
498,25,Female,Freshman,Psychology,5355,681,115,848,209,118,51,112,83,240,188,2645,2710,Cash
499,22,Male,Freshman,Computer Science,5387,1356,766,599,347,200,238,77,65,190,72,3910,1477,Mobile Payment App
500,25,Female,Sophomore,Computer Science,3394,1062,390,946,298,117,191,116,36,102,73,3331,63,Credit/Debit Card
501,18,Male,Sophomore,Economics,3413,1399,653,703,157,182,67,41,81,108,154,3545,-132,Cash
502,19,Female,Junior,Engineering,3268,1402,705,715,305,134,87,100,100,228,103,3879,-611,Cash
503,24,Non-binary,Sophomore,Engineering,5610,1184,260,490,376,168,183,102,73,183,85,3104,2506,Cash
504,21,Male,Senior,Economics,3735,743,351,746,305,51,201,55,74,284,117,2927,808,Cash
505,25,Male,Sophomore,Biology,3253,1384,490,462,286,158,240,90,24,296,191,3621,-368,Mobile Payment App
506,20,Male,Junior,Biology,4000,997,641,589,167,130,142,24,70,179,130,3069,931,Credit/Debit Card
507,24,Male,Senior,Engineering,4178,618,109,626,335,118,184,22,75,139,85,2311,1867,Credit/Debit Card
508,25,Female,Junior,Psychology,5329,1320,498,559,236,122,262,95,61,164,108,3425,1904,Cash
